調査年 コード,調査年,地域 コード,地域,/項目,C120110_課税対象所得【千円】,C120120_納税義務者数（所得割）【人】,F2201_第1次産業就業者数【人】,F2211_第2次産業就業者数【人】,F2221_第3次産業就業者数【人】
2015100000,2015年度,20481,長野県 池田町,,11312867,4231,444,1374,2971
2015100000,2015年度,20482,長野県 松川村,,10924181,4219,572,1682,2912
2015100000,2015年度,20485,長野県 白馬村,,8350572,3441,281,686,3798
2015100000,2015年度,20486,長野県 小谷村,,2528531,1061,170,342,1088
2015100000,2015年度,20521,長野県 坂城町,,19354002,6747,566,3312,3591
2015100000,2015年度,20541,長野県 小布施町,,12781608,4706,1376,1455,3150
2015100000,2015年度,20543,長野県 高山村,,7930863,3124,802,1234,1970
2015100000,2015年度,20561,長野県 山ノ内町,,11893506,5152,1772,1192,4096
2015100000,2015年度,20562,長野県 木島平村,,4500376,1869,670,564,1342
2015100000,2015年度,20563,長野県 野沢温泉村,,2882926,1261,249,335,1355
2015100000,2015年度,20583,長野県 信濃町,,8420244,3403,760,1106,2586
2015100000,2015年度,20588,長野県 小川村,,2409218,999,252,367,687
2015100000,2015年度,20590,長野県 飯綱町,,12721929,4868,1550,1422,3301
2015100000,2015年度,20602,長野県 栄村,,1516480,602,338,175,507
2015100000,2015年度,21201,岐阜県 岐阜市,,594484990,180263,3187,47019,138142
2015100000,2015年度,21202,岐阜県 大垣市,,227033683,72622,1169,25646,49431
2015100000,2015年度,21203,岐阜県 高山市,,109669617,40708,5264,11134,31975
2015100000,2015年度,21204,岐阜県 多治見市,,158862475,51440,293,16394,36422
2015100000,2015年度,21205,岐阜県 関市,,113483939,39635,902,19379,25063
2015100000,2015年度,21206,岐阜県 中津川市,,99415029,35513,2153,15860,20873
2015100000,2015年度,21207,岐阜県 美濃市,,26344517,9525,215,5167,5301
2015100000,2015年度,21208,岐阜県 瑞浪市,,48430546,17659,461,5894,12267
2015100000,2015年度,21209,岐阜県 羽島市,,89722969,29596,734,10399,20320
2015100000,2015年度,21210,岐阜県 恵那市,,61999451,22513,1435,9108,14980
2015100000,2015年度,21211,岐阜県 美濃加茂市,,72807008,24728,845,11024,15390
2015100000,2015年度,21212,岐阜県 土岐市,,71384186,26393,207,10811,17751
2015100000,2015年度,21213,岐阜県 各務原市,,208925994,66633,945,23462,43795
2015100000,2015年度,21214,岐阜県 可児市,,141518365,46390,674,17474,28681
2015100000,2015年度,21215,岐阜県 山県市,,33098576,12060,471,5618,7625
2015100000,2015年度,21216,岐阜県 瑞穂市,,73289670,23366,580,7992,17224
2015100000,2015年度,21217,岐阜県 飛騨市,,28655418,11251,1064,4128,7359
2015100000,2015年度,21218,岐阜県 本巣市,,42945713,14889,1316,5013,10153
2015100000,2015年度,21219,岐阜県 郡上市,,47680904,17917,1413,7351,12645
2015100000,2015年度,21220,岐阜県 下呂市,,36639883,14535,893,4938,11145
2015100000,2015年度,21221,岐阜県 海津市,,45640628,16344,1365,6323,10451
2015100000,2015年度,21302,岐阜県 岐南町,,35308929,11167,221,3651,8059
2015100000,2015年度,21303,岐阜県 笠松町,,29742919,9755,112,3163,7464
2015100000,2015年度,21341,岐阜県 養老町,,36637153,13138,499,5549,8377
2015100000,2015年度,21361,岐阜県 垂井町,,34685325,12293,239,5415,7266
2015100000,2015年度,21362,岐阜県 関ケ原町,,9243278,3348,171,1485,1900
2015100000,2015年度,21381,岐阜県 神戸町,,24495230,8696,408,3526,5420
2015100000,2015年度,21382,岐阜県 輪之内町,,11942612,4216,196,1948,2797
2015100000,2015年度,21383,岐阜県 安八町,,18784931,6548,230,2537,4316
2015100000,2015年度,21401,岐阜県 揖斐川町,,26035391,9422,716,3631,6027
2015100000,2015年度,21403,岐阜県 大野町,,28958079,10363,738,4070,6940
2015100000,2015年度,21404,岐阜県 池田町,,30175193,10659,459,4552,6714
2015100000,2015年度,21421,岐阜県 北方町,,24097005,7894,142,2584,6583
2015100000,2015年度,21501,岐阜県 坂祝町,,10677925,3809,127,1748,2092
2015100000,2015年度,21502,岐阜県 富加町,,6634793,2450,176,1239,1518
2015100000,2015年度,21503,岐阜県 川辺町,,12492755,4496,134,2066,2900
2015100000,2015年度,21504,岐阜県 七宗町,,4288908,1657,117,745,966
2015100000,2015年度,21505,岐阜県 八百津町,,13595070,4907,177,2247,2858
2015100000,2015年度,21506,岐阜県 白川町,,8603982,3493,451,1809,1991
2015100000,2015年度,21507,岐阜県 東白川村,,2222727,907,224,459,563
2015100000,2015年度,21521,岐阜県 御嵩町,,23275030,8395,205,3628,5209
2015100000,2015年度,21604,岐阜県 白川村,,2202567,791,22,207,743
2015100000,2015年度,22100,静岡県 静岡市,,1083673305,329666,9054,88388,238357
2015100000,2015年度,22130,静岡県 浜松市,,1203489359,375517,15563,134582,240799
2015100000,2015年度,22203,静岡県 沼津市,,295273495,93738,2516,28739,60766
2015100000,2015年度,22205,静岡県 熱海市,,50358761,16940,265,2045,14120
2015100000,2015年度,22206,静岡県 三島市,,175645649,52007,1240,14532,36726
2015100000,2015年度,22207,静岡県 富士宮市,,184640818,62531,2236,26504,34034
2015100000,2015年度,22208,静岡県 伊東市,,77186149,30069,789,3966,24762
2015100000,2015年度,22209,静岡県 島田市,,132451857,46438,3338,18589,28705
2015100000,2015年度,22210,静岡県 富士市,,376717760,120880,2384,46435,69684
2015100000,2015年度,22211,静岡県 磐田市,,239877122,80460,3359,33918,45035
2015100000,2015年度,22212,静岡県 焼津市,,193125441,66089,2063,25386,41766
2015100000,2015年度,22213,静岡県 掛川市,,168530453,55899,4220,24284,31729
2015100000,2015年度,22214,静岡県 藤枝市,,205849230,67426,2583,23419,45096
2015100000,2015年度,22215,静岡県 御殿場市,,136640298,43745,1198,13167,30788
2015100000,2015年度,22216,静岡県 袋井市,,122155890,40962,1924,18127,23650
2015100000,2015年度,22219,静岡県 下田市,,24357194,9638,568,1349,8395
2015100000,2015年度,22220,静岡県 裾野市,,83607596,25584,570,10556,15128
2015100000,2015年度,22221,静岡県 湖西市,,90151891,29200,1554,14661,14155
2015100000,2015年度,22222,静岡県 伊豆市,,36739592,14325,1197,3539,10786
2015100000,2015年度,22223,静岡県 御前崎市,,45609625,16396,1564,6980,9127
2015100000,2015年度,22224,静岡県 菊川市,,62426419,22205,2519,10512,11968
2015100000,2015年度,22225,静岡県 伊豆の国市,,64319736,22442,1433,6043,15925
